Epoch: 001, Loss: 1.947119, Train: 0.471429, Val: 0.458000, Test: 0.422000, Test_acc_best: 0.422000
Epoch: 002, Loss: 1.940149, Train: 0.585714, Val: 0.414000, Test: 0.410000, Test_acc_best: 0.422000
Epoch: 003, Loss: 1.930827, Train: 0.671429, Val: 0.488000, Test: 0.486000, Test_acc_best: 0.486000
Epoch: 004, Loss: 1.923090, Train: 0.671429, Val: 0.464000, Test: 0.480000, Test_acc_best: 0.486000
Epoch: 005, Loss: 1.912187, Train: 0.692857, Val: 0.452000, Test: 0.488000, Test_acc_best: 0.488000
Epoch: 006, Loss: 1.908328, Train: 0.742857, Val: 0.440000, Test: 0.478000, Test_acc_best: 0.488000
Epoch: 007, Loss: 1.898118, Train: 0.735714, Val: 0.438000, Test: 0.474000, Test_acc_best: 0.488000
Epoch: 008, Loss: 1.884036, Train: 0.742857, Val: 0.422000, Test: 0.448000, Test_acc_best: 0.488000
Epoch: 009, Loss: 1.883496, Train: 0.764286, Val: 0.442000, Test: 0.450000, Test_acc_best: 0.488000
Epoch: 010, Loss: 1.880417, Train: 0.814286, Val: 0.496000, Test: 0.506000, Test_acc_best: 0.506000
Epoch: 011, Loss: 1.870039, Train: 0.828571, Val: 0.546000, Test: 0.558000, Test_acc_best: 0.558000
Epoch: 012, Loss: 1.852170, Train: 0.850000, Val: 0.572000, Test: 0.579000, Test_acc_best: 0.579000
Epoch: 013, Loss: 1.848163, Train: 0.857143, Val: 0.616000, Test: 0.610000, Test_acc_best: 0.610000
Epoch: 014, Loss: 1.839847, Train: 0.892857, Val: 0.640000, Test: 0.635000, Test_acc_best: 0.635000
Epoch: 015, Loss: 1.833856, Train: 0.892857, Val: 0.658000, Test: 0.647000, Test_acc_best: 0.647000
Epoch: 016, Loss: 1.834633, Train: 0.892857, Val: 0.678000, Test: 0.667000, Test_acc_best: 0.667000
Epoch: 017, Loss: 1.818747, Train: 0.892857, Val: 0.702000, Test: 0.686000, Test_acc_best: 0.686000
Epoch: 018, Loss: 1.805759, Train: 0.900000, Val: 0.712000, Test: 0.703000, Test_acc_best: 0.703000
Epoch: 019, Loss: 1.789918, Train: 0.907143, Val: 0.718000, Test: 0.708000, Test_acc_best: 0.708000
Epoch: 020, Loss: 1.801111, Train: 0.921429, Val: 0.718000, Test: 0.715000, Test_acc_best: 0.715000
Epoch: 021, Loss: 1.776171, Train: 0.928571, Val: 0.716000, Test: 0.717000, Test_acc_best: 0.717000
Epoch: 022, Loss: 1.778915, Train: 0.928571, Val: 0.720000, Test: 0.720000, Test_acc_best: 0.720000
Epoch: 023, Loss: 1.754215, Train: 0.928571, Val: 0.726000, Test: 0.728000, Test_acc_best: 0.728000
Epoch: 024, Loss: 1.734031, Train: 0.935714, Val: 0.746000, Test: 0.733000, Test_acc_best: 0.733000
Epoch: 025, Loss: 1.739576, Train: 0.935714, Val: 0.752000, Test: 0.739000, Test_acc_best: 0.739000
Epoch: 026, Loss: 1.715435, Train: 0.935714, Val: 0.752000, Test: 0.741000, Test_acc_best: 0.741000
Epoch: 027, Loss: 1.715639, Train: 0.935714, Val: 0.746000, Test: 0.741000, Test_acc_best: 0.741000
Epoch: 028, Loss: 1.724128, Train: 0.935714, Val: 0.750000, Test: 0.743000, Test_acc_best: 0.743000
Epoch: 029, Loss: 1.692582, Train: 0.935714, Val: 0.760000, Test: 0.742000, Test_acc_best: 0.743000
Epoch: 030, Loss: 1.673435, Train: 0.942857, Val: 0.768000, Test: 0.751000, Test_acc_best: 0.751000
Epoch: 031, Loss: 1.669021, Train: 0.942857, Val: 0.770000, Test: 0.752000, Test_acc_best: 0.752000
Epoch: 032, Loss: 1.653579, Train: 0.942857, Val: 0.766000, Test: 0.755000, Test_acc_best: 0.755000
Epoch: 033, Loss: 1.666910, Train: 0.942857, Val: 0.764000, Test: 0.765000, Test_acc_best: 0.765000
Epoch: 034, Loss: 1.651474, Train: 0.942857, Val: 0.768000, Test: 0.770000, Test_acc_best: 0.770000
Epoch: 035, Loss: 1.655398, Train: 0.942857, Val: 0.778000, Test: 0.771000, Test_acc_best: 0.771000
Epoch: 036, Loss: 1.608140, Train: 0.950000, Val: 0.784000, Test: 0.771000, Test_acc_best: 0.771000
Epoch: 037, Loss: 1.603594, Train: 0.950000, Val: 0.788000, Test: 0.775000, Test_acc_best: 0.775000
Epoch: 038, Loss: 1.536740, Train: 0.957143, Val: 0.784000, Test: 0.781000, Test_acc_best: 0.781000
Epoch: 039, Loss: 1.573147, Train: 0.957143, Val: 0.784000, Test: 0.784000, Test_acc_best: 0.784000
Epoch: 040, Loss: 1.558585, Train: 0.957143, Val: 0.784000, Test: 0.788000, Test_acc_best: 0.788000
Epoch: 041, Loss: 1.530095, Train: 0.957143, Val: 0.790000, Test: 0.789000, Test_acc_best: 0.789000
Epoch: 042, Loss: 1.538860, Train: 0.964286, Val: 0.790000, Test: 0.790000, Test_acc_best: 0.790000
Epoch: 043, Loss: 1.516784, Train: 0.964286, Val: 0.796000, Test: 0.792000, Test_acc_best: 0.792000
Epoch: 044, Loss: 1.493268, Train: 0.964286, Val: 0.798000, Test: 0.794000, Test_acc_best: 0.794000
Epoch: 045, Loss: 1.477293, Train: 0.964286, Val: 0.798000, Test: 0.795000, Test_acc_best: 0.795000
Epoch: 046, Loss: 1.455532, Train: 0.964286, Val: 0.796000, Test: 0.800000, Test_acc_best: 0.800000
Epoch: 047, Loss: 1.440937, Train: 0.964286, Val: 0.800000, Test: 0.801000, Test_acc_best: 0.801000
Epoch: 048, Loss: 1.467966, Train: 0.964286, Val: 0.798000, Test: 0.801000, Test_acc_best: 0.801000
