Epoch: 055, Loss: 0.350014, Train: 1.000000, Val: 0.798000, Test: 0.822000, Test_acc_best: 0.836000
Epoch: 056, Loss: 0.392761, Train: 1.000000, Val: 0.806000, Test: 0.829000, Test_acc_best: 0.836000
Epoch: 057, Loss: 0.399357, Train: 1.000000, Val: 0.808000, Test: 0.826000, Test_acc_best: 0.836000
Epoch: 058, Loss: 0.398390, Train: 1.000000, Val: 0.806000, Test: 0.829000, Test_acc_best: 0.836000
Epoch: 059, Loss: 0.384922, Train: 1.000000, Val: 0.802000, Test: 0.814000, Test_acc_best: 0.836000
Epoch: 060, Loss: 0.367785, Train: 1.000000, Val: 0.780000, Test: 0.788000, Test_acc_best: 0.836000
Epoch: 061, Loss: 0.361511, Train: 1.000000, Val: 0.774000, Test: 0.776000, Test_acc_best: 0.836000
Epoch: 062, Loss: 0.350650, Train: 1.000000, Val: 0.770000, Test: 0.780000, Test_acc_best: 0.836000
Epoch: 063, Loss: 0.323385, Train: 1.000000, Val: 0.778000, Test: 0.785000, Test_acc_best: 0.836000
Epoch: 064, Loss: 0.448895, Train: 1.000000, Val: 0.786000, Test: 0.797000, Test_acc_best: 0.836000
Epoch: 065, Loss: 0.414336, Train: 1.000000, Val: 0.798000, Test: 0.814000, Test_acc_best: 0.836000
Epoch: 066, Loss: 0.418664, Train: 1.000000, Val: 0.798000, Test: 0.816000, Test_acc_best: 0.836000
Epoch: 067, Loss: 0.319110, Train: 0.985714, Val: 0.786000, Test: 0.818000, Test_acc_best: 0.836000
Epoch: 068, Loss: 0.383842, Train: 0.992857, Val: 0.786000, Test: 0.814000, Test_acc_best: 0.836000
Epoch: 069, Loss: 0.362665, Train: 1.000000, Val: 0.794000, Test: 0.814000, Test_acc_best: 0.836000
Epoch: 070, Loss: 0.334662, Train: 1.000000, Val: 0.788000, Test: 0.803000, Test_acc_best: 0.836000
Epoch: 071, Loss: 0.365772, Train: 1.000000, Val: 0.792000, Test: 0.795000, Test_acc_best: 0.836000
Epoch: 072, Loss: 0.346370, Train: 1.000000, Val: 0.788000, Test: 0.800000, Test_acc_best: 0.836000
Epoch: 073, Loss: 0.342279, Train: 1.000000, Val: 0.796000, Test: 0.810000, Test_acc_best: 0.836000
Epoch: 074, Loss: 0.371092, Train: 1.000000, Val: 0.784000, Test: 0.807000, Test_acc_best: 0.836000
Epoch: 075, Loss: 0.333911, Train: 1.000000, Val: 0.788000, Test: 0.797000, Test_acc_best: 0.836000
Epoch: 076, Loss: 0.392186, Train: 1.000000, Val: 0.776000, Test: 0.797000, Test_acc_best: 0.836000
Epoch: 077, Loss: 0.362527, Train: 1.000000, Val: 0.766000, Test: 0.783000, Test_acc_best: 0.836000
