Epoch: 001, Loss: 1.931382, Train: 0.282285, Val: 0.316000, Test: 0.319000, Val_acc_best: 0.316000, Test_acc_best: 0.319000
Epoch: 002, Loss: 1.867612, Train: 0.282285, Val: 0.316000, Test: 0.319000, Val_acc_best: 0.316000, Test_acc_best: 0.319000
Epoch: 003, Loss: 1.817809, Train: 0.282285, Val: 0.316000, Test: 0.319000, Val_acc_best: 0.316000, Test_acc_best: 0.319000
Epoch: 004, Loss: 1.797195, Train: 0.282285, Val: 0.316000, Test: 0.319000, Val_acc_best: 0.316000, Test_acc_best: 0.319000
Epoch: 005, Loss: 1.766990, Train: 0.283113, Val: 0.316000, Test: 0.320000, Val_acc_best: 0.316000, Test_acc_best: 0.320000
Epoch: 006, Loss: 1.738729, Train: 0.305464, Val: 0.330000, Test: 0.333000, Val_acc_best: 0.330000, Test_acc_best: 0.333000
Epoch: 007, Loss: 1.710842, Train: 0.326159, Val: 0.344000, Test: 0.352000, Val_acc_best: 0.344000, Test_acc_best: 0.352000
Epoch: 008, Loss: 1.680033, Train: 0.328642, Val: 0.352000, Test: 0.357000, Val_acc_best: 0.352000, Test_acc_best: 0.357000
Epoch: 009, Loss: 1.648495, Train: 0.341060, Val: 0.364000, Test: 0.369000, Val_acc_best: 0.364000, Test_acc_best: 0.369000
Epoch: 010, Loss: 1.619889, Train: 0.378311, Val: 0.412000, Test: 0.400000, Val_acc_best: 0.412000, Test_acc_best: 0.400000
Epoch: 011, Loss: 1.587202, Train: 0.427152, Val: 0.444000, Test: 0.436000, Val_acc_best: 0.444000, Test_acc_best: 0.436000
Epoch: 012, Loss: 1.549555, Train: 0.468543, Val: 0.470000, Test: 0.473000, Val_acc_best: 0.470000, Test_acc_best: 0.473000
Epoch: 013, Loss: 1.512688, Train: 0.479305, Val: 0.478000, Test: 0.478000, Val_acc_best: 0.478000, Test_acc_best: 0.478000
Epoch: 014, Loss: 1.476175, Train: 0.501656, Val: 0.500000, Test: 0.491000, Val_acc_best: 0.500000, Test_acc_best: 0.491000
Epoch: 015, Loss: 1.434161, Train: 0.549669, Val: 0.540000, Test: 0.529000, Val_acc_best: 0.540000, Test_acc_best: 0.529000
Epoch: 016, Loss: 1.396111, Train: 0.590232, Val: 0.578000, Test: 0.560000, Val_acc_best: 0.578000, Test_acc_best: 0.560000
Epoch: 017, Loss: 1.353236, Train: 0.615066, Val: 0.624000, Test: 0.595000, Val_acc_best: 0.624000, Test_acc_best: 0.595000
Epoch: 018, Loss: 1.316232, Train: 0.662252, Val: 0.658000, Test: 0.631000, Val_acc_best: 0.658000, Test_acc_best: 0.631000
