Epoch: 001, Loss: 1.945095, Train: 0.385714, Val: 0.244000, Test: 0.247000, Val_acc_best: 0.244000, Test_acc_best: 0.247000
Epoch: 002, Loss: 1.937769, Train: 0.514286, Val: 0.344000, Test: 0.341000, Val_acc_best: 0.344000, Test_acc_best: 0.341000
Epoch: 003, Loss: 1.930458, Train: 0.700000, Val: 0.408000, Test: 0.400000, Val_acc_best: 0.408000, Test_acc_best: 0.400000
Epoch: 004, Loss: 1.922258, Train: 0.800000, Val: 0.478000, Test: 0.464000, Val_acc_best: 0.478000, Test_acc_best: 0.464000
Epoch: 005, Loss: 1.912833, Train: 0.835714, Val: 0.524000, Test: 0.532000, Val_acc_best: 0.524000, Test_acc_best: 0.532000
Epoch: 006, Loss: 1.902680, Train: 0.864286, Val: 0.562000, Test: 0.571000, Val_acc_best: 0.562000, Test_acc_best: 0.571000
Epoch: 007, Loss: 1.892704, Train: 0.871429, Val: 0.564000, Test: 0.582000, Val_acc_best: 0.564000, Test_acc_best: 0.582000
Epoch: 008, Loss: 1.880302, Train: 0.871429, Val: 0.556000, Test: 0.576000, Val_acc_best: 0.564000, Test_acc_best: 0.582000
Epoch: 009, Loss: 1.867535, Train: 0.871429, Val: 0.540000, Test: 0.561000, Val_acc_best: 0.564000, Test_acc_best: 0.582000
Epoch: 010, Loss: 1.856112, Train: 0.864286, Val: 0.544000, Test: 0.557000, Val_acc_best: 0.564000, Test_acc_best: 0.582000
Epoch: 011, Loss: 1.841972, Train: 0.864286, Val: 0.542000, Test: 0.546000, Val_acc_best: 0.564000, Test_acc_best: 0.582000
Epoch: 012, Loss: 1.828506, Train: 0.864286, Val: 0.540000, Test: 0.542000, Val_acc_best: 0.564000, Test_acc_best: 0.582000
Epoch: 013, Loss: 1.814477, Train: 0.871429, Val: 0.546000, Test: 0.542000, Val_acc_best: 0.564000, Test_acc_best: 0.582000
Epoch: 014, Loss: 1.799752, Train: 0.892857, Val: 0.554000, Test: 0.558000, Val_acc_best: 0.564000, Test_acc_best: 0.582000
Epoch: 015, Loss: 1.782955, Train: 0.892857, Val: 0.570000, Test: 0.566000, Val_acc_best: 0.570000, Test_acc_best: 0.582000
Epoch: 016, Loss: 1.766324, Train: 0.900000, Val: 0.578000, Test: 0.585000, Val_acc_best: 0.578000, Test_acc_best: 0.585000
Epoch: 017, Loss: 1.754254, Train: 0.921429, Val: 0.594000, Test: 0.603000, Val_acc_best: 0.594000, Test_acc_best: 0.603000
Epoch: 018, Loss: 1.734537, Train: 0.921429, Val: 0.610000, Test: 0.626000, Val_acc_best: 0.610000, Test_acc_best: 0.626000
Epoch: 019, Loss: 1.718734, Train: 0.928571, Val: 0.632000, Test: 0.640000, Val_acc_best: 0.632000, Test_acc_best: 0.640000
Epoch: 020, Loss: 1.694449, Train: 0.928571, Val: 0.648000, Test: 0.659000, Val_acc_best: 0.648000, Test_acc_best: 0.659000
Epoch: 021, Loss: 1.680295, Train: 0.942857, Val: 0.670000, Test: 0.672000, Val_acc_best: 0.670000, Test_acc_best: 0.672000
Epoch: 022, Loss: 1.658814, Train: 0.950000, Val: 0.684000, Test: 0.697000, Val_acc_best: 0.684000, Test_acc_best: 0.697000
Epoch: 023, Loss: 1.640540, Train: 0.950000, Val: 0.706000, Test: 0.712000, Val_acc_best: 0.706000, Test_acc_best: 0.712000
Epoch: 024, Loss: 1.620395, Train: 0.950000, Val: 0.710000, Test: 0.730000, Val_acc_best: 0.710000, Test_acc_best: 0.730000
Epoch: 025, Loss: 1.600932, Train: 0.957143, Val: 0.720000, Test: 0.743000, Val_acc_best: 0.720000, Test_acc_best: 0.743000
Epoch: 026, Loss: 1.586460, Train: 0.964286, Val: 0.728000, Test: 0.747000, Val_acc_best: 0.728000, Test_acc_best: 0.747000
Epoch: 027, Loss: 1.560030, Train: 0.964286, Val: 0.732000, Test: 0.751000, Val_acc_best: 0.732000, Test_acc_best: 0.751000
Epoch: 028, Loss: 1.535936, Train: 0.964286, Val: 0.738000, Test: 0.755000, Val_acc_best: 0.738000, Test_acc_best: 0.755000
Epoch: 029, Loss: 1.523247, Train: 0.964286, Val: 0.746000, Test: 0.763000, Val_acc_best: 0.746000, Test_acc_best: 0.763000
Epoch: 030, Loss: 1.496515, Train: 0.964286, Val: 0.750000, Test: 0.770000, Val_acc_best: 0.750000, Test_acc_best: 0.770000
Epoch: 031, Loss: 1.474610, Train: 0.971429, Val: 0.752000, Test: 0.772000, Val_acc_best: 0.752000, Test_acc_best: 0.772000
Epoch: 032, Loss: 1.448625, Train: 0.971429, Val: 0.752000, Test: 0.775000, Val_acc_best: 0.752000, Test_acc_best: 0.775000
Epoch: 033, Loss: 1.429123, Train: 0.971429, Val: 0.754000, Test: 0.777000, Val_acc_best: 0.754000, Test_acc_best: 0.777000
Epoch: 034, Loss: 1.402717, Train: 0.971429, Val: 0.758000, Test: 0.777000, Val_acc_best: 0.758000, Test_acc_best: 0.777000
Epoch: 035, Loss: 1.386119, Train: 0.971429, Val: 0.764000, Test: 0.781000, Val_acc_best: 0.764000, Test_acc_best: 0.781000
Epoch: 036, Loss: 1.359080, Train: 0.971429, Val: 0.770000, Test: 0.783000, Val_acc_best: 0.770000, Test_acc_best: 0.783000
Epoch: 037, Loss: 1.343256, Train: 0.971429, Val: 0.768000, Test: 0.783000, Val_acc_best: 0.770000, Test_acc_best: 0.783000
Epoch: 038, Loss: 1.315867, Train: 0.971429, Val: 0.770000, Test: 0.786000, Val_acc_best: 0.770000, Test_acc_best: 0.786000
Epoch: 039, Loss: 1.293238, Train: 0.971429, Val: 0.774000, Test: 0.790000, Val_acc_best: 0.774000, Test_acc_best: 0.790000
Epoch: 040, Loss: 1.265656, Train: 0.971429, Val: 0.774000, Test: 0.791000, Val_acc_best: 0.774000, Test_acc_best: 0.791000
Epoch: 041, Loss: 1.241482, Train: 0.971429, Val: 0.776000, Test: 0.793000, Val_acc_best: 0.776000, Test_acc_best: 0.793000
Epoch: 042, Loss: 1.221256, Train: 0.971429, Val: 0.782000, Test: 0.794000, Val_acc_best: 0.782000, Test_acc_best: 0.794000
Epoch: 043, Loss: 1.198906, Train: 0.971429, Val: 0.782000, Test: 0.795000, Val_acc_best: 0.782000, Test_acc_best: 0.795000
Epoch: 044, Loss: 1.171615, Train: 0.971429, Val: 0.784000, Test: 0.795000, Val_acc_best: 0.784000, Test_acc_best: 0.795000
Epoch: 045, Loss: 1.151835, Train: 0.971429, Val: 0.788000, Test: 0.794000, Val_acc_best: 0.788000, Test_acc_best: 0.795000
Epoch: 046, Loss: 1.134800, Train: 0.971429, Val: 0.788000, Test: 0.793000, Val_acc_best: 0.788000, Test_acc_best: 0.795000
Epoch: 047, Loss: 1.107481, Train: 0.971429, Val: 0.788000, Test: 0.793000, Val_acc_best: 0.788000, Test_acc_best: 0.795000
Epoch: 048, Loss: 1.088990, Train: 0.971429, Val: 0.784000, Test: 0.794000, Val_acc_best: 0.788000, Test_acc_best: 0.795000
Epoch: 049, Loss: 1.064263, Train: 0.971429, Val: 0.784000, Test: 0.797000, Val_acc_best: 0.788000, Test_acc_best: 0.797000
Epoch: 050, Loss: 1.043576, Train: 0.971429, Val: 0.788000, Test: 0.800000, Val_acc_best: 0.788000, Test_acc_best: 0.800000
Epoch: 051, Loss: 1.018161, Train: 0.978571, Val: 0.788000, Test: 0.802000, Val_acc_best: 0.788000, Test_acc_best: 0.802000
Epoch: 052, Loss: 1.009880, Train: 0.971429, Val: 0.786000, Test: 0.806000, Val_acc_best: 0.788000, Test_acc_best: 0.806000
Epoch: 053, Loss: 0.979132, Train: 0.971429, Val: 0.790000, Test: 0.809000, Val_acc_best: 0.790000, Test_acc_best: 0.809000
Epoch: 054, Loss: 0.970899, Train: 0.971429, Val: 0.788000, Test: 0.810000, Val_acc_best: 0.790000, Test_acc_best: 0.810000
Epoch: 055, Loss: 0.948893, Train: 0.978571, Val: 0.788000, Test: 0.809000, Val_acc_best: 0.790000, Test_acc_best: 0.810000
Epoch: 056, Loss: 0.922797, Train: 0.978571, Val: 0.790000, Test: 0.811000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 057, Loss: 0.899554, Train: 0.978571, Val: 0.786000, Test: 0.810000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 058, Loss: 0.886659, Train: 0.978571, Val: 0.788000, Test: 0.808000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 059, Loss: 0.871949, Train: 0.978571, Val: 0.786000, Test: 0.808000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 060, Loss: 0.852007, Train: 0.978571, Val: 0.788000, Test: 0.806000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 061, Loss: 0.839762, Train: 0.978571, Val: 0.790000, Test: 0.807000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 062, Loss: 0.813884, Train: 0.978571, Val: 0.788000, Test: 0.808000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 063, Loss: 0.793929, Train: 0.985714, Val: 0.788000, Test: 0.809000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 064, Loss: 0.782170, Train: 0.985714, Val: 0.788000, Test: 0.808000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 065, Loss: 0.761061, Train: 0.985714, Val: 0.786000, Test: 0.808000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 066, Loss: 0.753090, Train: 0.985714, Val: 0.786000, Test: 0.807000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 067, Loss: 0.729311, Train: 0.978571, Val: 0.784000, Test: 0.810000, Val_acc_best: 0.790000, Test_acc_best: 0.811000
Epoch: 068, Loss: 0.724848, Train: 0.978571, Val: 0.790000, Test: 0.812000, Val_acc_best: 0.790000, Test_acc_best: 0.812000
Epoch: 069, Loss: 0.707775, Train: 0.978571, Val: 0.792000, Test: 0.812000, Val_acc_best: 0.792000, Test_acc_best: 0.812000
Epoch: 070, Loss: 0.693546, Train: 0.978571, Val: 0.794000, Test: 0.814000, Val_acc_best: 0.794000, Test_acc_best: 0.814000
